bad data: 190
NAME: BossLetsPlays-GhostSmasher.jar, ERROR: No methods present.
NAME: emlagowski-PangGame.jar, ERROR: No methods present.
NAME: mill275us-Apple-Attack.jar, ERROR: No methods present.
NAME: antso24-MojetteLsd.jar, ERROR: No methods present.
NAME: hexcone-VIPER.jar, ERROR: Soot parse error.
NAME: iofirag-setPixel.jar, ERROR: No methods present.
NAME: Mikkomario-RaceKingdomsSwing.jar, ERROR: No methods present.
NAME: akshayrb-SecureNote.jar, ERROR: No methods present.
NAME: thesymbol-GHzClickerMAHProjekt.jar, ERROR: No methods present.
NAME: Voragain-JavaConsole.jar, ERROR: No methods present.
NAME: JoshDreamland-ReSequence.jar, ERROR: No methods present.
NAME: melwil-Solitaire.jar, ERROR: No methods present.
NAME: dphang-vacworld-gui.jar, ERROR: No methods present.
NAME: divs1210-3Coffee.jar, ERROR: No methods present.
NAME: ileonicolas-robotmastermind.jar, ERROR: Soot parse error.
NAME: Ziamor-Tea-Time-with-Notch.jar, ERROR: No methods present.
NAME: jolin1337-Pokemans.jar, ERROR: No methods present.
NAME: Inervo-BookNaviger.jar, ERROR: Soot parse error.
NAME: Cyboot-netproto.jar, ERROR: No methods present.
NAME: t2munika-isometric-pixel-project.jar, ERROR: No methods present.
NAME: porterjamesf-Jned.jar, ERROR: No methods present.
NAME: rnaimon-TheGame.jar, ERROR: No methods present.
NAME: timj11dude-ModelWalker.jar, ERROR: No methods present.
NAME: xby1993-xby-fist.jar, ERROR: No methods present.
NAME: mygithubwork-PrinterProcessApril.jar, ERROR: No methods present.
NAME: sideris-Community-Networks.jar, ERROR: No methods present.
NAME: juli---paint.jar, ERROR: Soot parse error.
NAME: cataladu-PhotoAlbum.jar, ERROR: No methods present.
NAME: cs2103aug2014-f10-1j-main.jar, ERROR: Soot parse error.
NAME: alexandrovall-nsu_graphics2.jar, ERROR: No methods present.
NAME: HRogge-CompactPDFExport.jar, ERROR: Soot parse error.
NAME: martatrujillocarretero-Programacion.jar, ERROR: Soot parse error.
NAME: mjanes-spatial-simulation-java.jar, ERROR: Soot parse error.
NAME: Fleuri-Azureproject.jar, ERROR: No methods present.
NAME: jawi-jVT220.jar, ERROR: No methods present.
NAME: mauricio-jai-core.jar, ERROR: Soot parse error.
NAME: MartijnTheunissen-PLNR.jar, ERROR: No methods present.
NAME: nvelasquez-Budge-Manage.jar, ERROR: Soot parse error.
NAME: agent6262-BP.jar, ERROR: Soot parse error.
NAME: MassBank-SpectrumSearch.jar, ERROR: Soot parse error.
NAME: t-yokoyama-java_pandemic.jar, ERROR: No methods present.
NAME: kator-278-Dmb_Hw1.jar, ERROR: No methods present.
NAME: rossillingworth-java-common.jar, ERROR: Soot parse error.
NAME: Overflow-Powerbot-UILibrary.jar, ERROR: No methods present.
NAME: Gosha-Tetris-in-Java.jar, ERROR: No methods present.
NAME: robbythedude-FunPaint.jar, ERROR: No methods present.
NAME: jj-gallardo-swgEngine.jar, ERROR: No methods present.
NAME: Elfhir-TowerImac.jar, ERROR: Soot parse error.
NAME: matthew7j-Histogram.jar, ERROR: No methods present.
NAME: deager4-PyPhyGUI.jar, ERROR: No methods present.
NAME: rvarati-GameSystem1.jar, ERROR: No methods present.
NAME: andreiolaru-ro-net.xqhs.aTasker.jar, ERROR: No methods present.
NAME: steffenschumacher-photo-db.jar, ERROR: Soot parse error.
NAME: tantaman-commons.jar, ERROR: No methods present.
NAME: iconmaster5326-ADAM.jar, ERROR: No methods present.
NAME: Zahlii-Advanced-Youtube-Downloader.jar, ERROR: Soot parse error.
NAME: hharrison-java3d-utils.jar, ERROR: Soot parse error.
NAME: lucasmends-GameAI.jar, ERROR: No methods present.
NAME: mattfabina-StarFighter.jar, ERROR: No methods present.
NAME: Beatsleigher-UniversalAndroidToolkit.jar, ERROR: Soot parse error.
NAME: neoedmund-neoeedit.jar, ERROR: No methods present.
NAME: jhu-web-response-headers.jar, ERROR: No methods present.
NAME: imifos-Sagan-1.jar, ERROR: No methods present.
NAME: joeyuan19-StringMass.jar, ERROR: Soot parse error.
NAME: ssinan-PatternExtractor.jar, ERROR: No methods present.
NAME: sebbekarlsson-zembez.jar, ERROR: No methods present.
NAME: graphtheorysoftware-GraphTea.jar, ERROR: Soot parse error.
NAME: alojzije-vectorDrawEeditor.jar, ERROR: Soot parse error.
NAME: SebastienGllmt-Jixel.jar, ERROR: No methods present.
NAME: yuvielle-matchesGame.jar, ERROR: No methods present.
NAME: Karloid-MapEditorScientificCompany.jar, ERROR: No methods present.
NAME: Kanatoko-Dunkhead.jar, ERROR: No methods present.
NAME: loganperreault-LinearProgramming.jar, ERROR: Soot parse error.
NAME: zerohhy-jpegCompression.jar, ERROR: No methods present.
NAME: gmanoli-csvToSvg-tool.jar, ERROR: No methods present.
NAME: marcin212-StarchasersLauncher.jar, ERROR: Soot parse error.
NAME: nyanev-LoveFinder.jar, ERROR: No methods present.
NAME: Naftoreiclag-PaintingThing.jar, ERROR: No methods present.
NAME: dietzm-GCodeInfo.jar, ERROR: Soot parse error.
NAME: wanwan-mqoparser.jar, ERROR: Soot parse error.
NAME: domistiller-History.jar, ERROR: No methods present.
NAME: vishalkpp-SmileViz.jar, ERROR: Soot parse error.
NAME: ada10lgu-robot.jar, ERROR: No methods present.
NAME: c00kiemon5ter-Graphs.jar, ERROR: No methods present.
NAME: Matt529-GridWorld-Life.jar, ERROR: Soot parse error.
NAME: romppu75-SampleChat.jar, ERROR: No methods present.
NAME: berto1993-LaboratorioMD1Cluster.jar, ERROR: Soot parse error.
NAME: c0nfuz3d-GMLibrary.jar, ERROR: Soot parse error.
NAME: rydoMC-Static-Design-Maps.jar, ERROR: No methods present.
NAME: mkarakaya-Flickr4Java.jar, ERROR: No methods present.
NAME: GustavodMartins-SIGAF.jar, ERROR: No methods present.
NAME: n0Live-BrickGame.jar, ERROR: Soot parse error.
NAME: Ruuu-cpooed.jar, ERROR: Soot parse error.
NAME: maikmerten-chainreaction.jar, ERROR: No methods present.
NAME: alexandrovall-nsu_graphics1.jar, ERROR: No methods present.
NAME: mrcosta-gantt-generator.jar, ERROR: No methods present.
NAME: t-oster-Notenschrank.jar, ERROR: No methods present.
NAME: clarkware-jdepend.jar, ERROR: Soot parse error.
NAME: livioso-aai.jar, ERROR: No methods present.
NAME: sarobe-TrajectoryPlanning.jar, ERROR: No methods present.
NAME: Radsaggi-JElectemplate.jar, ERROR: Soot parse error.
NAME: christiaanjanssen-DesKundig.jar, ERROR: No methods present.
NAME: Aztroid-2014-Norsk-Reseptregister.jar, ERROR: Soot parse error.
NAME: mimic2300-EW2.jar, ERROR: No methods present.
NAME: Dani636-Space.jar, ERROR: No methods present.
NAME: loverdos-javac-openjdk7.jar, ERROR: Soot parse error.
NAME: AndLen-kingsAndAces.jar, ERROR: No methods present.
NAME: aaridici-AdvancedJava_FinalProject_ChatServer.jar, ERROR: No methods present.
NAME: katjas-PDFrenderer.jar, ERROR: Soot parse error.
NAME: WarPigeon-War-Pigeon-Engine.jar, ERROR: Soot parse error.
NAME: tengattack-CableBattle.jar, ERROR: No methods present.
NAME: lcspereira-Portaria.jar, ERROR: No methods present.
NAME: dteixeira-Infectious.jar, ERROR: Soot parse error.
NAME: MrFlark-Battlefield-4.jar, ERROR: Soot parse error.
NAME: shalynnho-pokemonfactory.jar, ERROR: Soot parse error.
NAME: fpg44-fellesprosjekt.jar, ERROR: Soot parse error.
NAME: Bardiches-LLPlatformer.jar, ERROR: No methods present.
NAME: s1mpl3x-Kickstarter.jar, ERROR: No methods present.
NAME: magicgoose-qr-encoder-desktop.jar, ERROR: No methods present.
NAME: gouravbn-ELab.jar, ERROR: No methods present.
NAME: Albaniusz-java_swingtutorial.jar, ERROR: No methods present.
NAME: HunterInTheDarkness-Shooter.jar, ERROR: No methods present.
NAME: bpancost-WallBuildingAnimats.jar, ERROR: Soot parse error.
NAME: jobbogamer-JSLibrary.jar, ERROR: No methods present.
NAME: Watchful1-PermissionsChecker.jar, ERROR: No methods present.
NAME: UCSB-CS56-Projects-cs56-utilities-GEAR-scraper.jar, ERROR: No methods present.
NAME: alexcalibur3000-jbvag-game.jar, ERROR: No methods present.
NAME: zzloojit-Ljavac.jar, ERROR: Soot parse error.
NAME: idanl-Projects.jar, ERROR: No methods present.
NAME: AndLen-dragonsTail.jar, ERROR: No methods present.
NAME: tvdzwan-hypercon.jar, ERROR: Soot parse error.
NAME: Grevor-TimeTravelers.jar, ERROR: Soot parse error.
NAME: Grokzen-GEngine.jar, ERROR: No methods present.
NAME: formula1-GameCore.jar, ERROR: No methods present.
NAME: pensistudios-Doom4.jar, ERROR: No methods present.
NAME: skdys-Java.jar, ERROR: No methods present.
NAME: aemreunal-KillingFrenzy.jar, ERROR: No methods present.
NAME: mcomas-codapack.jar, ERROR: Soot parse error.
NAME: alexanderdavidenko32-Signals.jar, ERROR: No methods present.
NAME: fab-jul-GameOfAnts.jar, ERROR: No methods present.
NAME: karoluss-ztp.jar, ERROR: No methods present.
NAME: Praznat-AGP.jar, ERROR: No methods present.
NAME: jhorstmann-topcoder-gvim.jar, ERROR: Soot parse error.
NAME: igwb-Excavor.jar, ERROR: No methods present.
NAME: Manzzz-drag_and_drop_selenium.jar, ERROR: No methods present.
NAME: tarikki-OostvaardersplassenSimulation.jar, ERROR: No methods present.
NAME: gussmith23-2DDrawingApplication.jar, ERROR: No methods present.
NAME: truly-auto-SENG403.jar, ERROR: No methods present.
NAME: ahmetalpbalkan-futuremedium-resizer.jar, ERROR: No methods present.
NAME: Abushidze-Graphics.jar, ERROR: No methods present.
NAME: InstellarCombat-InterstellarCombat.jar, ERROR: No methods present.
good data: 2274
NAME: martinmajer-mechanika.jar, ROWS: 6, AVERAGE: 1.5
NAME: WillChilds-Klein-BGraph.jar, ROWS: 2, AVERAGE: 1.0
NAME: Anxuiz-Crossfire.jar, ROWS: 9, AVERAGE: 2.4444444
NAME: SimoneBerardi-EasyAnimations.jar, ROWS: 2, AVERAGE: 1.5
NAME: borancar-Vizualizacija.jar, ROWS: 1, AVERAGE: 1.0
NAME: joster422-KnightsVsZombies.jar, ROWS: 4, AVERAGE: 1.0
NAME: jmankhan-Lumberjack2012.jar, ROWS: 1, AVERAGE: 1.0
NAME: IanField90-DrawAndTalk.jar, ROWS: 2, AVERAGE: 1.0
NAME: MLCL-visualiser.jar, ROWS: 2, AVERAGE: 1.0
NAME: pyros2097-SystemIDE.jar, ROWS: 1, AVERAGE: 1.0
NAME: GhostGlitch-Rooms.jar, ROWS: 2, AVERAGE: 1.0
NAME: chernikovalexey-J2048.jar, ROWS: 2, AVERAGE: 4.0
NAME: Hypertopic-Porphyry.jar, ROWS: 1, AVERAGE: 1.0
NAME: mvettigli-StatS.jar, ROWS: 7, AVERAGE: 1.5714285
NAME: wenshunjosh-compsci308_springie.jar, ROWS: 21, AVERAGE: 1.6666666
NAME: ubicity-devs-jcores.jar, ROWS: 2, AVERAGE: 2.0
NAME: APXEOLOG-hnh_union.jar, ROWS: 2, AVERAGE: 2.0
NAME: hutchip2-uSic.jar, ROWS: 1, AVERAGE: 1.0
NAME: zhuzhenguang-algorithm.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: KaPaHgaIII-PlanetaryWars.jar, ROWS: 1, AVERAGE: 1.0
NAME: ScripterRon-MyMoney.jar, ROWS: 3, AVERAGE: 3.0
NAME: bishoybassem-atomix.jar, ROWS: 3, AVERAGE: 3.3333333
NAME: IsikcanYilmaz-iyilmaz_ecec301_project.jar, ROWS: 1, AVERAGE: 3.0
NAME: luisponce-practicaDatos1.jar, ROWS: 2, AVERAGE: 1.0
NAME: cran-venneuler.jar, ROWS: 1, AVERAGE: 2.0
NAME: jvhoven-GameProject.jar, ROWS: 1, AVERAGE: 1.0
NAME: yawkat-YawkatSnap.jar, ROWS: 1, AVERAGE: 2.0
NAME: aaruff-MultiCommon.jar, ROWS: 1, AVERAGE: 1.0
NAME: apertus-open-source-cinema-elphelvision_eclipse.jar, ROWS: 5, AVERAGE: 1.6
NAME: JordanMarcy-Cell-Signaling-Project.jar, ROWS: 3, AVERAGE: 3.0
NAME: daald-fotobuch-convert.jar, ROWS: 1, AVERAGE: 4.0
NAME: pazzini-GUIFEI.jar, ROWS: 21, AVERAGE: 2.3809524
NAME: Shtevay-JavaJesus.jar, ROWS: 21, AVERAGE: 1.0476191
NAME: oliverde8-Stroy-Liner.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: Tejpbit-GraphProgram.jar, ROWS: 1, AVERAGE: 2.0
NAME: andern-jcoolib.jar, ROWS: 9, AVERAGE: 1.4444444
NAME: cachiama-DTwkwI3tpUAzocULaifx.jar, ROWS: 31, AVERAGE: 2.8064516
NAME: pdf4j-icepdf4.jar, ROWS: 115, AVERAGE: 2.7913043
NAME: 4GuysInABucket-WASH.jar, ROWS: 2, AVERAGE: 2.0
NAME: LinZhu1989-EclipseJavaJunoWS.jar, ROWS: 1, AVERAGE: 1.0
NAME: jals-JCVSBomb.jar, ROWS: 1, AVERAGE: 1.0
NAME: ArnoStock-CampPlaner_incubation.jar, ROWS: 5, AVERAGE: 1.4
NAME: wsne-Oscilloscope.jar, ROWS: 1, AVERAGE: 2.0
NAME: pseppecher-jamel.jar, ROWS: 1, AVERAGE: 2.0
NAME: xLauncher-socket.jar, ROWS: 2, AVERAGE: 1.0
NAME: helloyou2012-TreeDesigner.jar, ROWS: 1, AVERAGE: 1.0
NAME: YodiYanwar-PulseCounter.jar, ROWS: 1, AVERAGE: 1.0
NAME: swirepe-thumb2.jar, ROWS: 1, AVERAGE: 2.0
NAME: Journot-PHU.jar, ROWS: 18, AVERAGE: 1.3333334
NAME: bozimmerman-CoffeeMud.jar, ROWS: 1, AVERAGE: 2.0
NAME: ydcun-showYZM2.jar, ROWS: 1, AVERAGE: 2.0
NAME: peddermaster2-Labyrinth.jar, ROWS: 1, AVERAGE: 2.0
NAME: julia-ting-CuckooHash.jar, ROWS: 1, AVERAGE: 1.0
NAME: rweichler-wuigi.jar, ROWS: 24, AVERAGE: 1.375
NAME: AlexeyGrishin-brutal-runner.jar, ROWS: 2, AVERAGE: 2.0
NAME: charisronov-CMeSimple.jar, ROWS: 2, AVERAGE: 5.0
NAME: garyfredgiger-GameFramework.jar, ROWS: 8, AVERAGE: 1.625
NAME: rbs90-HorizontalAccordion.jar, ROWS: 1, AVERAGE: 2.0
NAME: crubier-OmniPFD.jar, ROWS: 8, AVERAGE: 3.0
NAME: mebigfatguy-borders4j.jar, ROWS: 6, AVERAGE: 1.6666666
NAME: SteveOlson05-ZORK.jar, ROWS: 10, AVERAGE: 1.3
NAME: michaelquigley-meters.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: LeoWoerteler-ChartyGUI.jar, ROWS: 8, AVERAGE: 2.125
NAME: naleite-TP_MVC_Camembert.jar, ROWS: 5, AVERAGE: 3.2
NAME: SamirVora-ComputingProject.jar, ROWS: 1, AVERAGE: 3.0
NAME: Magisus-AI.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: elad-maimon-SLAM_Simulator.jar, ROWS: 1, AVERAGE: 1.0
NAME: TeachingKidsProgramming-TeachingKidsProgramming.Java.jar, ROWS: 1, AVERAGE: 1.0
NAME: pet1330-SoftwareEngineering_Group3.jar, ROWS: 1, AVERAGE: 2.0
NAME: raeffu-prog1.jar, ROWS: 7, AVERAGE: 1.5714285
NAME: derekrazo-emotiv-osc.jar, ROWS: 2, AVERAGE: 1.5
NAME: ankhia-programming.jar, ROWS: 5, AVERAGE: 2.4
NAME: awylie-Network-Graph.jar, ROWS: 3, AVERAGE: 2.0
NAME: joshbcondie-CS-355.jar, ROWS: 22, AVERAGE: 3.3181818
NAME: GregorStocks-eu3view.jar, ROWS: 2, AVERAGE: 1.5
NAME: antongor-game.jar, ROWS: 1, AVERAGE: 2.0
NAME: gangstertim-Airplanes.jar, ROWS: 51, AVERAGE: 1.9803921
NAME: BunsenMcDubbs-2DGalaxy.jar, ROWS: 13, AVERAGE: 1.0
NAME: Mikeygoo-utilities.jar, ROWS: 3, AVERAGE: 1.0
NAME: floatec-WAI-webcam-portal.jar, ROWS: 1, AVERAGE: 1.0
NAME: SirDesolot-CompProject-V2.jar, ROWS: 24, AVERAGE: 1.7083334
NAME: AlexLamson-BattleshipGame.jar, ROWS: 1, AVERAGE: 1.0
NAME: wonnor-ArtilleryGame.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: andreiciubotariu-newtonrootfinder.jar, ROWS: 1, AVERAGE: 1.0
NAME: jake100-paint.jar, ROWS: 1, AVERAGE: 1.0
NAME: asl-usgs-azimuth.jar, ROWS: 2, AVERAGE: 1.0
NAME: emmawestman-uppgift2.jar, ROWS: 1, AVERAGE: 1.0
NAME: neopoly-tagcloud.jar, ROWS: 5, AVERAGE: 2.6
NAME: patrickfreed-Sidecraft.jar, ROWS: 6, AVERAGE: 1.6666666
NAME: BenDoan-OgorSheeptipper.jar, ROWS: 7, AVERAGE: 1.7142857
NAME: MattWesemann-ShooterGameServer.jar, ROWS: 3, AVERAGE: 1.0
NAME: kelzan-HanziHelper.jar, ROWS: 2, AVERAGE: 1.5
NAME: jracine-GTI525.jar, ROWS: 1, AVERAGE: 2.0
NAME: LaraiFox-Library.jar, ROWS: 3, AVERAGE: 1.0
NAME: staefy-Algorithms-and-data-structures-in-Java.jar, ROWS: 39, AVERAGE: 1.4615384
NAME: sbluen-geowars.jar, ROWS: 1, AVERAGE: 2.0
NAME: ssyyddnneeyy-Fractal-Machine.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: 00benallen-VillageCraft.jar, ROWS: 24, AVERAGE: 2.1666667
NAME: m-marini-jconquest.jar, ROWS: 15, AVERAGE: 2.1333334
NAME: JasinskiJarek-paint.jar, ROWS: 12, AVERAGE: 2.8333333
NAME: redpois0n-graphslib.jar, ROWS: 1, AVERAGE: 1.0
NAME: henrosoft-nehsics.jar, ROWS: 10, AVERAGE: 1.4
NAME: learntowin-ChineseChess.jar, ROWS: 7, AVERAGE: 1.0
NAME: malorch-MultiPoint.jar, ROWS: 15, AVERAGE: 1.8
NAME: ggleblanc-java.fontchooser.jar, ROWS: 1, AVERAGE: 2.0
NAME: iaavo-swingset2.jar, ROWS: 1, AVERAGE: 6.0
NAME: tomazas-jdbmodel.jar, ROWS: 1, AVERAGE: 2.0
NAME: benformosa-ITC313-Ass1.jar, ROWS: 6, AVERAGE: 2.0
NAME: yuripourre-etyllic-paint.jar, ROWS: 1, AVERAGE: 1.0
NAME: ipe369-Vector.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: jporcelli-RambleOn.jar, ROWS: 2, AVERAGE: 1.5
NAME: anhtuan29592-javaprogramming-gomoku.jar, ROWS: 1, AVERAGE: 2.0
NAME: PeterGok-kouchkarting.jar, ROWS: 2, AVERAGE: 1.5
NAME: dstoleson-toze.jar, ROWS: 1, AVERAGE: 4.0
NAME: shashir-simple-neural-networks.jar, ROWS: 1, AVERAGE: 1.0
NAME: kmisztal-CCEC.jar, ROWS: 1, AVERAGE: 1.0
NAME: johan-adriaans-BerendBotje.jar, ROWS: 2, AVERAGE: 1.0
NAME: donfusilli-collision_detection.jar, ROWS: 1, AVERAGE: 1.0
NAME: sashjakk-Perceptron.jar, ROWS: 1, AVERAGE: 2.0
NAME: richard-to-CS-Togiz-Kumalak.jar, ROWS: 1, AVERAGE: 1.0
NAME: blublab-ad_aufgabe4.jar, ROWS: 2, AVERAGE: 3.0
NAME: JTWalraven-macwidgets.jar, ROWS: 12, AVERAGE: 2.8333333
NAME: chandhya-CGSamples.jar, ROWS: 2, AVERAGE: 3.0
NAME: anastasialopez-Space-Game.jar, ROWS: 2, AVERAGE: 3.0
NAME: petercrlane-evolving-models.jar, ROWS: 1, AVERAGE: 1.0
NAME: andreiolaru-ro-net.xqhs.Graphs.jar, ROWS: 6, AVERAGE: 2.3333333
NAME: caglar-jDenetX.jar, ROWS: 18, AVERAGE: 1.7222222
NAME: Chase-san-AI-MintClover.jar, ROWS: 38, AVERAGE: 1.4473684
NAME: roukaour-votingsim.jar, ROWS: 9, AVERAGE: 1.5555556
NAME: happyjack27-autoredistrict.jar, ROWS: 1, AVERAGE: 1.0
NAME: calvinchengcc-Space-Invaders.jar, ROWS: 7, AVERAGE: 1.0
NAME: osobolev-mirea_examples.jar, ROWS: 1, AVERAGE: 1.0
NAME: codeNinja77-Omega-Centauri.jar, ROWS: 41, AVERAGE: 1.8780488
NAME: XavierCollBagur-ZombieInvasion--Prepare-yourself-.jar, ROWS: 67, AVERAGE: 2.5522387
NAME: Alchemy-Meister-RedesDeOrdenadoresTW.jar, ROWS: 1, AVERAGE: 3.0
NAME: GitTheWorld-nxt-dbfl.jar, ROWS: 1, AVERAGE: 1.0
NAME: IniciRobotDAW-ProjecteM3.jar, ROWS: 19, AVERAGE: 2.2105262
NAME: mribeiro-imagannot.jar, ROWS: 1, AVERAGE: 1.0
NAME: Croxed-Programmerings-Uppgifter-1.jar, ROWS: 1, AVERAGE: 1.0
NAME: oschrenk-openlr.teleatlas-viewer.jar, ROWS: 8, AVERAGE: 2.375
NAME: ryankane-visgraph.jar, ROWS: 7, AVERAGE: 1.7142857
NAME: jgeorge33-CakeDefence.jar, ROWS: 6, AVERAGE: 1.0
NAME: BroTeam-TIPE-project.jar, ROWS: 30, AVERAGE: 1.7666667
NAME: gixslayer-module2.jar, ROWS: 1, AVERAGE: 1.0
NAME: Sylfer-AngryTank.jar, ROWS: 11, AVERAGE: 1.2727273
NAME: bobmandude9889-Astroids.jar, ROWS: 1, AVERAGE: 2.0
NAME: rscarberry-wa-clodhopper.jar, ROWS: 8, AVERAGE: 1.875
NAME: hamada-tuscom-SimTus.jar, ROWS: 2, AVERAGE: 1.0
NAME: jzampino-ECE419-lab-3.jar, ROWS: 2, AVERAGE: 2.0
NAME: mvs5681-RaceGame.jar, ROWS: 4, AVERAGE: 2.0
NAME: Barneey-Projekt_Colorado.jar, ROWS: 4, AVERAGE: 1.75
NAME: crathje-NCSimulator.jar, ROWS: 13, AVERAGE: 2.1538463
NAME: IPV-1-TP3.jar, ROWS: 16, AVERAGE: 1.3125
NAME: ricardoruas88-comunicadorweb.jar, ROWS: 1, AVERAGE: 1.0
NAME: Thels-UpgradeWars.jar, ROWS: 2, AVERAGE: 1.0
NAME: myuh-Gronemwald.jar, ROWS: 2, AVERAGE: 1.0
NAME: zamzam-PetriNetSim.jar, ROWS: 36, AVERAGE: 2.7777777
NAME: nuigroup-hci-for-java.jar, ROWS: 14, AVERAGE: 1.6428572
NAME: Mikeware-minueto.jar, ROWS: 2, AVERAGE: 2.5
NAME: webdestroya-pacman.jar, ROWS: 3, AVERAGE: 2.0
NAME: HendrikStrobelt-WordleIntern.jar, ROWS: 10, AVERAGE: 3.8
NAME: sjlbos-SENG271-GroupProject.jar, ROWS: 2, AVERAGE: 1.0
NAME: lekro-VectorBattleship.jar, ROWS: 4, AVERAGE: 1.25
NAME: amtabhshk-ArificialIntelligence.jar, ROWS: 1, AVERAGE: 2.0
NAME: velaseriat-Avanti.jar, ROWS: 3, AVERAGE: 1.0
NAME: feenr-GeometryWarsJava.jar, ROWS: 1, AVERAGE: 1.0
NAME: Laranto-Turing-Machine.jar, ROWS: 1, AVERAGE: 3.0
NAME: Traumflug-Visolate.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: backgammon-java-ai-backg_java2012.jar, ROWS: 7, AVERAGE: 1.1428572
NAME: agent-P-LCARS-Framework.jar, ROWS: 15, AVERAGE: 3.2
NAME: marcus13345-MAndEngine.jar, ROWS: 2, AVERAGE: 1.0
NAME: jorgito1167-6.141-Challenge.jar, ROWS: 27, AVERAGE: 1.4074074
NAME: dbar061-FruitProcessingPlant.jar, ROWS: 49, AVERAGE: 1.9183674
NAME: lechoPl-GameMaker.jar, ROWS: 1, AVERAGE: 2.0
NAME: ernestho-PixelWarfare.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: diddle-UED.jar, ROWS: 8, AVERAGE: 2.0
NAME: TripleD13-CS283Project.jar, ROWS: 1, AVERAGE: 1.0
NAME: z3ss-TestProject.jar, ROWS: 11, AVERAGE: 1.8181819
NAME: dersteps-shadowrun-chargen.jar, ROWS: 1, AVERAGE: 2.0
NAME: Cjsheaf-Scrapper-Blaster.jar, ROWS: 8, AVERAGE: 1.125
NAME: jfairbourn-Asteroids.jar, ROWS: 10, AVERAGE: 4.1
NAME: orestisMelkonian-SA4_game.jar, ROWS: 2, AVERAGE: 1.0
NAME: Neressea-carte-auto-organisatrice.jar, ROWS: 2, AVERAGE: 3.0
NAME: jbundle-calendarpanel.jar, ROWS: 2, AVERAGE: 1.0
NAME: rockwotj-cchs-playmaker.jar, ROWS: 29, AVERAGE: 1.5517242
NAME: lafeingcrokodil-softwareprojekt.jar, ROWS: 25, AVERAGE: 2.0
NAME: fronto-sedgewick-and-wayne.jar, ROWS: 43, AVERAGE: 1.4186046
NAME: sgeisler-SphereSim.jar, ROWS: 1, AVERAGE: 3.0
NAME: madbrain-goldrush-simu.jar, ROWS: 1, AVERAGE: 1.0
NAME: jo215-Ants.jar, ROWS: 2, AVERAGE: 2.0
